[panel] 2010: building pool...
  ARI: real 65 | est(act) 75.8 | OLD 26.0±8.4 | NEW 34.1±20.8 | gap +8.1
  ATL: real 91 | est(act) 90.5 | OLD 69.7±18.5 | NEW 68.0±26.2 | gap -1.7
  BAL: real 66 | est(act) 64.9 | OLD 62.5±15.7 | NEW 58.6±26.6 | gap -3.8
  BOS: real 89 | est(act) 79.3 | OLD 121.0±10.7 | NEW 119.7±11.3 | gap -1.3
  CHC: real 75 | est(act) 85.2 | OLD 116.4±13.0 | NEW 114.8±16.4 | gap -1.6
  CHW: real 88 | est(act) 80.8 | OLD 98.0±16.2 | NEW 91.7±26.8 | gap -6.2
  CIN: real 91 | est(act) 83.1 | OLD 58.0±15.2 | NEW 48.8±27.0 | gap -9.2
  CLE: real 69 | est(act) 55.2 | OLD 45.6±12.8 | NEW 43.7±27.4 | gap -1.9
  COL: real 83 | est(act) 89.6 | OLD 71.4±15.0 | NEW 60.7±29.4 | gap -10.7
  DET: real 81 | est(act) 83.0 | OLD 105.2±13.7 | NEW 100.4±22.9 | gap -4.7
  FLA: real 80 | est(act) 84.0 | OLD 36.1±11.3 | NEW 41.1±24.8 | gap +5.0
  HOU: real 76 | est(act) 70.3 | OLD 82.4±20.6 | NEW 80.7±29.1 | gap -1.7
  KCR: real 67 | est(act) 73.2 | OLD 58.9±15.1 | NEW 55.3±30.0 | gap -3.5
  LAA: real 80 | est(act) 73.6 | OLD 72.2±17.1 | NEW 63.6±29.8 | gap -8.6
  LAD: real 80 | est(act) 74.4 | OLD 83.3±16.6 | NEW 74.6±28.4 | gap -8.6
  MIL: real 77 | est(act) 81.3 | OLD 70.9±17.0 | NEW 62.6±28.7 | gap -8.3
  MIN: real 94 | est(act) 79.3 | OLD 72.8±19.1 | NEW 69.4±29.5 | gap -3.4
  NYM: real 79 | est(act) 68.3 | OLD 110.6±15.5 | NEW 106.5±18.9 | gap -4.0
  NYY: real 95 | est(act) 91.4 | OLD 134.8±7.3 | NEW 136.2±6.3 | gap +1.4
  OAK: real 81 | est(act) 68.3 | OLD 24.8±7.3 | NEW 31.3±23.9 | gap +6.5
  PHI: real 97 | est(act) 87.4 | OLD 114.6±14.1 | NEW 114.0±15.2 | gap -0.6
  PIT: real 57 | est(act) 60.3 | OLD 6.7±2.1 | NEW 23.4±16.6 | gap +16.6
  SDP: real 90 | est(act) 83.3 | OLD 8.6±2.9 | NEW 25.7±20.0 | gap +17.1
  SEA: real 61 | est(act) 59.4 | OLD 72.1±18.1 | NEW 69.4±29.7 | gap -2.6
  SFG: real 92 | est(act) 82.7 | OLD 80.9±20.0 | NEW 80.9±26.6 | gap +0.0
  STL: real 86 | est(act) 82.8 | OLD 81.7±18.8 | NEW 74.6±29.5 | gap -7.1
  TBR: real 96 | est(act) 78.7 | OLD 58.9±13.0 | NEW 59.8±28.9 | gap +0.9
  TEX: real 90 | est(act) 87.6 | OLD 36.7±8.4 | NEW 39.6±26.4 | gap +2.9
  TOR: real 85 | est(act) 91.4 | OLD 31.1±10.7 | NEW 36.4±22.0 | gap +5.3
  WSN: real 69 | est(act) 70.7 | OLD 36.9±12.2 | NEW 42.3±30.2 | gap +5.4
[panel] 2011: building pool...
  ARI: real 94 | est(act) 77.8 | OLD 30.6±9.7 | NEW 37.3±19.3 | gap +6.7
  ATL: real 89 | est(act) 91.4 | OLD 69.7±22.4 | NEW 68.1±28.0 | gap -1.6
  BAL: real 69 | est(act) 62.6 | OLD 72.3±23.7 | NEW 63.9±28.8 | gap -8.4
  BOS: real 90 | est(act) 92.4 | OLD 124.1±11.2 | NEW 124.9±13.5 | gap +0.8
  CHC: real 71 | est(act) 78.9 | OLD 105.4±19.5 | NEW 101.5±23.4 | gap -3.9
  CHW: real 79 | est(act) 72.6 | OLD 100.6±23.1 | NEW 98.1±24.0 | gap -2.4
  CIN: real 79 | est(act) 71.5 | OLD 61.2±19.1 | NEW 59.8±28.0 | gap -1.5
  CLE: real 80 | est(act) 65.5 | OLD 26.1±9.0 | NEW 39.1±20.7 | gap +13.0
  COL: real 73 | est(act) 74.5 | OLD 70.5±20.1 | NEW 64.7±27.4 | gap -5.8
  DET: real 95 | est(act) 89.6 | OLD 88.0±22.7 | NEW 74.6±26.6 | gap -13.4
  FLA: real 72 | est(act) 78.1 | OLD 36.5±9.6 | NEW 39.3±17.9 | gap +2.8
  HOU: real 56 | est(act) 62.6 | OLD 55.4±15.0 | NEW 47.9±21.8 | gap -7.4
  KCR: real 71 | est(act) 80.8 | OLD 4.2±0.9 | NEW 23.6±12.6 | gap +19.4
  LAA: real 86 | est(act) 81.7 | OLD 102.9±23.8 | NEW 104.2±22.6 | gap +1.3
  LAD: real 82 | est(act) 79.5 | OLD 88.2±22.8 | NEW 82.4±30.1 | gap -5.8
  MIL: real 96 | est(act) 91.6 | OLD 73.1±19.3 | NEW 68.6±26.6 | gap -4.5
  MIN: real 63 | est(act) 58.2 | OLD 86.7±24.6 | NEW 85.9±26.0 | gap -0.8
  NYM: real 77 | est(act) 75.3 | OLD 80.8±23.7 | NEW 80.4±29.0 | gap -0.4
  NYY: real 97 | est(act) 98.0 | OLD 135.3±10.0 | NEW 134.1±9.1 | gap -1.2
  OAK: real 74 | est(act) 77.9 | OLD 28.8±7.4 | NEW 37.6±20.4 | gap +8.8
  PHI: real 102 | est(act) 100.2 | OLD 118.3±16.8 | NEW 118.1±15.9 | gap -0.3
  PIT: real 72 | est(act) 59.0 | OLD 8.1±4.8 | NEW 30.6±17.0 | gap +22.6
  SDP: real 71 | est(act) 66.1 | OLD 11.2±4.7 | NEW 33.9±16.1 | gap +22.7
  SEA: real 67 | est(act) 52.4 | OLD 60.7±19.8 | NEW 61.1±25.5 | gap +0.4
  SFG: real 86 | est(act) 68.2 | OLD 88.4±23.1 | NEW 83.4±27.8 | gap -5.1
  STL: real 90 | est(act) 86.3 | OLD 74.5±22.3 | NEW 67.8±26.9 | gap -6.7
  TBR: real 91 | est(act) 78.1 | OLD 12.6±5.4 | NEW 34.1±18.3 | gap +21.5
  TEX: real 96 | est(act) 96.1 | OLD 76.9±23.5 | NEW 69.3±25.8 | gap -7.5
  TOR: real 81 | est(act) 72.8 | OLD 38.3±11.6 | NEW 42.9±24.1 | gap +4.5
  WSN: real 80 | est(act) 73.9 | OLD 45.4±13.1 | NEW 44.8±21.7 | gap -0.6

=== panel summary (2010-2011, 60 team-seasons) ===
mean wins gap NEW-OLD: +0.45 (across-team std 8.33)
estimator r(actual_est, real W) = 0.778
mean NEW-arm roster overlap with actual: 3.2%
mean OLD-arm roster overlap with actual: 3.4%
[panel] 2022: building pool...
  ARI: real 74 | est(act) 64.8 | OLD 43.4±9.5 | NEW 45.9±21.4 | gap +2.6
  ATL: real 101 | est(act) 101.7 | OLD 79.0±20.6 | NEW 74.1±24.1 | gap -4.8
  BAL: real 83 | est(act) 74.4 | OLD 4.9±1.1 | NEW 18.9±11.5 | gap +14.0
  BOS: real 78 | est(act) 72.3 | OLD 92.8±23.9 | NEW 92.0±23.0 | gap -0.8
  CHC: real 74 | est(act) 68.0 | OLD 80.3±18.3 | NEW 75.7±22.8 | gap -4.7
  CHW: real 81 | est(act) 73.9 | OLD 89.8±23.2 | NEW 89.4±25.8 | gap -0.4
  CIN: real 62 | est(act) 60.7 | OLD 48.8±10.7 | NEW 48.1±22.4 | gap -0.7
  CLE: real 92 | est(act) 86.8 | OLD 11.4±4.7 | NEW 32.6±19.6 | gap +21.2
  COL: real 68 | est(act) 62.9 | OLD 58.5±12.2 | NEW 51.1±21.1 | gap -7.4
  DET: real 66 | est(act) 48.6 | OLD 67.0±16.1 | NEW 62.5±22.9 | gap -4.5
  HOU: real 106 | est(act) 101.2 | OLD 89.5±20.5 | NEW 89.1±25.7 | gap -0.4
  KCR: real 65 | est(act) 68.9 | OLD 44.4±11.0 | NEW 39.8±21.0 | gap -4.5
  LAA: real 73 | est(act) 61.2 | OLD 79.3±20.1 | NEW 76.4±23.3 | gap -2.9
  LAD: real 111 | est(act) 106.8 | OLD 120.2±16.8 | NEW 120.1±15.1 | gap -0.2
  MIA: real 69 | est(act) 65.9 | OLD 9.7±5.2 | NEW 29.8±17.1 | gap +20.1
  MIL: real 86 | est(act) 87.3 | OLD 69.9±17.5 | NEW 60.9±21.4 | gap -8.9
  MIN: real 78 | est(act) 76.7 | OLD 62.5±12.5 | NEW 57.0±24.0 | gap -5.5
  NYM: real 101 | est(act) 104.1 | OLD 128.2±16.9 | NEW 126.9±15.1 | gap -1.2
  NYY: real 99 | est(act) 93.8 | OLD 128.4±15.7 | NEW 126.6±12.0 | gap -1.8
  OAK: real 60 | est(act) 44.9 | OLD 4.9±1.1 | NEW 26.4±13.9 | gap +21.5
  PHI: real 87 | est(act) 89.1 | OLD 118.5±18.6 | NEW 118.8±19.3 | gap +0.2
  PIT: real 62 | est(act) 60.4 | OLD 4.9±1.3 | NEW 22.7±12.8 | gap +17.7
  SDP: real 89 | est(act) 97.4 | OLD 97.5±21.3 | NEW 92.8±24.9 | gap -4.7
  SEA: real 90 | est(act) 83.7 | OLD 42.1±10.1 | NEW 42.5±22.0 | gap +0.4
  SFG: real 81 | est(act) 80.0 | OLD 83.2±22.3 | NEW 86.8±25.5 | gap +3.6
  STL: real 93 | est(act) 87.2 | OLD 86.3±23.9 | NEW 86.5±25.6 | gap +0.2
  TBR: real 86 | est(act) 73.4 | OLD 29.4±8.5 | NEW 38.0±20.3 | gap +8.7
  TEX: real 68 | est(act) 69.1 | OLD 69.3±16.9 | NEW 65.5±27.4 | gap -3.8
  TOR: real 92 | est(act) 97.7 | OLD 98.8±21.3 | NEW 94.9±25.5 | gap -3.9
  WSN: real 55 | est(act) 57.0 | OLD 71.5±15.3 | NEW 71.1±27.1 | gap -0.4
[panel] 2023: building pool...
  ARI: real 84 | est(act) 79.3 | OLD 59.2±14.0 | NEW 55.6±27.5 | gap -3.6
  ATL: real 104 | est(act) 108.4 | OLD 100.0±19.1 | NEW 92.0±23.1 | gap -8.0
  BAL: real 101 | est(act) 86.3 | OLD 31.5±7.5 | NEW 36.5±21.0 | gap +4.9
  BOS: real 78 | est(act) 78.2 | OLD 87.7±17.6 | NEW 85.1±23.2 | gap -2.6
  CHC: real 83 | est(act) 89.5 | OLD 65.9±13.8 | NEW 57.0±26.4 | gap -9.0
  CHW: real 61 | est(act) 60.4 | OLD 71.0±16.4 | NEW 64.1±27.5 | gap -6.9
  CIN: real 82 | est(act) 69.9 | OLD 5.6±2.5 | NEW 26.8±13.5 | gap +21.2
  CLE: real 76 | est(act) 80.6 | OLD 16.2±5.6 | NEW 33.8±18.0 | gap +17.6
  COL: real 59 | est(act) 57.4 | OLD 73.5±20.2 | NEW 68.2±27.8 | gap -5.3
  DET: real 78 | est(act) 61.2 | OLD 65.1±13.4 | NEW 60.9±26.8 | gap -4.2
  HOU: real 90 | est(act) 87.5 | OLD 112.1±17.5 | NEW 110.0±16.6 | gap -2.1
  KCR: real 56 | est(act) 58.8 | OLD 29.4±7.8 | NEW 34.8±23.3 | gap +5.5
  LAA: real 73 | est(act) 60.5 | OLD 108.2±18.9 | NEW 106.4±18.7 | gap -1.8
  LAD: real 100 | est(act) 86.3 | OLD 103.0±19.4 | NEW 103.1±22.6 | gap +0.2
  MIA: real 84 | est(act) 73.0 | OLD 53.2±13.1 | NEW 47.6±23.4 | gap -5.6
  MIL: real 92 | est(act) 72.1 | OLD 72.9±15.6 | NEW 66.5±26.3 | gap -6.4
  MIN: real 87 | est(act) 76.8 | OLD 71.5±15.6 | NEW 60.0±27.1 | gap -11.4
  NYM: real 75 | est(act) 75.5 | OLD 96.5±20.3 | NEW 96.8±23.7 | gap +0.2
  NYY: real 82 | est(act) 65.2 | OLD 121.1±15.6 | NEW 118.0±18.6 | gap -3.0
  OAK: real 50 | est(act) 54.6 | OLD 3.9±1.1 | NEW 22.8±7.9 | gap +19.0
  PHI: real 90 | est(act) 90.9 | OLD 102.5±20.4 | NEW 101.9±21.2 | gap -0.6
  PIT: real 76 | est(act) 63.6 | OLD 6.9±3.7 | NEW 26.5±12.7 | gap +19.5
  SDP: real 82 | est(act) 83.3 | OLD 104.4±19.7 | NEW 102.7±21.9 | gap -1.7
  SEA: real 88 | est(act) 86.7 | OLD 65.9±14.5 | NEW 65.4±26.0 | gap -0.5
  SFG: real 79 | est(act) 73.5 | OLD 87.8±19.5 | NEW 82.4±25.0 | gap -5.4
  STL: real 71 | est(act) 76.3 | OLD 86.3±18.9 | NEW 86.4±23.9 | gap +0.1
  TBR: real 99 | est(act) 93.8 | OLD 24.7±6.4 | NEW 38.7±24.2 | gap +14.0
  TEX: real 90 | est(act) 87.8 | OLD 116.2±18.8 | NEW 115.6±20.2 | gap -0.6
  TOR: real 89 | est(act) 87.6 | OLD 106.2±18.3 | NEW 99.9±22.7 | gap -6.4
  WSN: real 71 | est(act) 53.8 | OLD 7.0±3.5 | NEW 27.9±17.9 | gap +20.9
[panel] 2024: building pool...
  ARI: real 89 | est(act) 89.3 | OLD 80.3±16.7 | NEW 76.6±22.7 | gap -3.7
  ATL: real 89 | est(act) 87.1 | OLD 96.8±14.0 | NEW 96.2±18.7 | gap -0.6
  BAL: real 91 | est(act) 86.8 | OLD 59.1±14.6 | NEW 55.6±26.5 | gap -3.5
  BOS: real 81 | est(act) 82.1 | OLD 69.8±16.2 | NEW 65.5±26.4 | gap -4.4
  CHC: real 83 | est(act) 84.5 | OLD 94.7±15.4 | NEW 89.6±21.1 | gap -5.1
  CHW: real 41 | est(act) 55.7 | OLD 38.5±10.1 | NEW 44.0±24.2 | gap +5.5
  CIN: real 77 | est(act) 76.8 | OLD 12.7±5.4 | NEW 30.6±19.6 | gap +17.9
  CLE: real 92 | est(act) 73.7 | OLD 32.9±10.0 | NEW 43.8±24.5 | gap +10.9
  COL: real 61 | est(act) 58.3 | OLD 59.4±12.5 | NEW 55.1±27.1 | gap -4.3
  DET: real 86 | est(act) 63.5 | OLD 32.4±8.7 | NEW 41.0±24.2 | gap +8.6
  HOU: real 88 | est(act) 86.5 | OLD 110.1±17.1 | NEW 108.6±18.5 | gap -1.5
  KCR: real 86 | est(act) 79.7 | OLD 50.9±11.6 | NEW 46.1±26.2 | gap -4.8
  LAA: real 63 | est(act) 55.5 | OLD 80.8±15.8 | NEW 71.4±26.2 | gap -9.4
